Year,Very Favorable,Somewhat Favorable,Somewhat Unfavorable,Very Unfavorable,DK/Refused
2010,49,36,9,3,4
2011,NaN,NaN,NaN,NaN,NaN
2012,NaN,NaN,NaN,NaN,NaN
2013,23,27,22,21,6
2014,23,27,22,21,6
2015,20,42,18,15,5
2016,25,38,18,14,5
2017,23,35,19,16,8
2018,NaN,NaN,NaN,NaN,NaN
2019,17,33,19,22,10
